"persid";"estanid";"perfilid";"perfil";"perfilgrupo"
"1b9511589";"0033PB075";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"73e99c5a5";"0020PB029";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"ddc869cb1";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d658b1150";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"a3511fff7";"0036PB029";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"74422f8f0";"0037PB039";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"00fbf5328";"0027PB005";"10015";"TECNICO SUPERIOR";"PAS"
"2a0932d25";"0020PB071";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"eb2466a16";"0037PB005";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"7bfa1311b";"0024PB001";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"00760cb16";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"82bc5c6d4";"0020PB016";"A0504";"Profesor titular universidad";"PDI"
"79750d6e9";"0012PB012";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"5ad1de1b7";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f87c7558d";"0001PB087";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"060bdba91";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"4aaa1b299";"0034PB022";"A0506";"Profesor titular escuela universitaria";"PDI"
"6e4fb0955";"0034PB051";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"eefd27ec2";"0028PB040";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"c2edd36dd";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"7be545aa3";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"8c586e3ea";"0008PB020";"A0504";"Profesor titular universidad";"PDI"
"d336b22d8";"0037PB079";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"fc5a0a863";"0034PB049";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"bd83bf7e4";"0001PB055";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"31de2f0bd";"0019PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"b4196a3f4";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"383e2368f";"0028PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a204b08ee";"0028PB024";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"5f0e6f6cc";"0026PB007";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1c0b4fb6f";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"e0a42b2b3";"0028PB040";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"1783c754b";"0007PB013";"7189";"E. CONSERJE";"PAS"
"83a40aa8a";"0000PB997";"CARGO";"CARGO";"OTROS"
"bc6d3070a";"0028PB040";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"18b6468ea";"0028PB029";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"eaba4bde0";"0033PB024";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"3ae0641ee";"0034PB078";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"291ea6403";"0028PB024";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"d2d4abc29";"0000PB997";"CARGO";"CARGO";"OTROS"
"17edac9d8";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d80f17de6";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"dadc55147";"0005PB006";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"d5378acc0";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f1c7526e2";"0029PB079";"CARGO";"CARGO";"OTROS"
"f1ee209bd";"0015PB012";"A0504";"Profesor titular universidad";"PDI"
"301433556";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e34c63cb5";"0018PB017";"A0504";"Profesor titular universidad";"PDI"
"3a662a659";"0001PB055";"7189";"E. CONSERJE";"PAS"
"e901dba59";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"491252f57";"0015PB010";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"136b85eed";"0034PB010";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"a5613ff1f";"0016PB033";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"5b91ee15f";"0011PB063";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f1550c03a";"0028PB026";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"86b9185c3";"0007PB013";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"5005c21e5";"0008PB049";"A0504";"Profesor titular universidad";"PDI"
"a879bec95";"0000PB997";"CARGO";"CARGO";"OTROS"
"147a8a61d";"0024PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"8ff6f64d2";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"43e6152f3";"0028PB040";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"48473cfe4";"0000PB997";"CARGO";"CARGO";"OTROS"
"48473cfe4";"0012PB051";"A0504";"Profesor titular universidad";"PDI"
"004093b34";"0000PB997";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"9147bb7dc";"0008PB048";"A0504";"Profesor titular universidad";"PDI"
"163edde53";"0020PB011";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"5832a69b1";"0028PB056";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"1422aeaec";"0004PB011";"7189";"E. CONSERJE";"PAS"
"b97c76c36";"0019PB026";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"81013c5cd";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"c46c0c67d";"0011PB019";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"9d9475555";"0020PB025";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"bcf8519b7";"0020PB003";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d832d645f";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"44ab21909";"0035PB006";"7189";"E. CONSERJE";"PAS"
"d5e64d99a";"0018PB019";"7189";"E. CONSERJE";"PAS"
"462801176";"0033PB039";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"6b077857d";"0028PB047";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"2c321a7cb";"0036PB003";"CARGO";"CARGO";"OTROS"
"16c7bb651";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2b71b2bb1";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"922967291";"0028PB056";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"b3428995f";"0011PB027";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"a54e914fa";"0030PB042";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"d8dca6f4f";"0038PB030";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"d04d69cc6";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"534345710";"0033PB020";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"4ba877a5b";"0020PB041";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"4ba877a5b";"0027PB003";"DOCENTE";"DOCENTE EXTERNO";"OTROS"
"9734be21b";"0020PB011";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"1b7d276f5";"0037PB035";"7189";"E. CONSERJE";"PAS"
"50d6a6861";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"bdf398a14";"0203PB022";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"70f38812e";"0033PB023";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"f84d72aa3";"0025PB049";"A0504";"Profesor titular universidad";"PDI"
"ea833597d";"0000PB997";"7189";"E. CONSERJE";"PAS"
"a2e02e59a";"0028PB016";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"c13d04c2e";"0008PB013";"A0504";"Profesor titular universidad";"PDI"
"c13d04c2e";"0016PB024";"CARGO";"CARGO";"OTROS"
"d73d95c85";"0007PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e69051b42";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"fe6b7b43b";"0033PB117";"7005";"E. ESPEC. ARCHIV. BIBLIOT, Y CENTROS DOC";"PAS"
"a9c89f573";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"c36a93f13";"0037PB028";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"01ad272da";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a64f8bfa3";"0034PB073";"7189";"E. CONSERJE";"PAS"
"f0192a0f9";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"168ad74b4";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"7e17aff5c";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"3db7dcd0f";"0028PB040";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"df44f1c41";"0000PB997";"CARGO";"CARGO";"OTROS"
"a827639f2";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"8a9a5bbb7";"0028PB032";"CARGO";"CARGO";"OTROS"
"8c97b0b42";"0008PB021";"CARGO";"CARGO";"OTROS"
"8c97b0b42";"0008PB021";"A0504";"Profesor titular universidad";"PDI"
"6ea512b1c";"0028PB093";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"00a1cf634";"0000PB997";"30008";"OPERADOR";"PAS"
"eef9ebbfb";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a8c831163";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"dc3ac04a0";"0018PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"b444cee16";"0007PB019";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"54b76ca08";"0015PB070";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"cf337a84b";"0034PB073";"7189";"E. CONSERJE";"PAS"
"4c7711f6c";"0025PB042";"7189";"E. CONSERJE";"PAS"
"37bad295a";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"a0bb19257";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"0b6723b8b";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"15a280692";"0002PB051";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"53966f0ae";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"3557f115d";"0015PB062";"A0504";"Profesor titular universidad";"PDI"
"ecfaa91a4";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"367429fa3";"0007PB063";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"8602e6d33";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"c1a15cbbe";"0026PB014";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"4de74500b";"0012PB037";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b28f7034c";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"099b0e42e";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"6bbda19c5";"0031PB028";"A0504";"Profesor titular universidad";"PDI"
"1f7f64f5a";"0020PB031";"7019";"E. ANALISTA-PROGRA. DE LA UNIV. DE ALIC.";"PAS"
"c75a962b9";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"c30a615c9";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"18afad6fa";"0005PB006";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"ab6cb5a26";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"064c06d4a";"0016PB019";"7189";"E. CONSERJE";"PAS"
"eb12704bb";"0036PB033";"7189";"E. CONSERJE";"PAS"
"c59fdf2bb";"0003PB008";"A0504";"Profesor titular universidad";"PDI"
"addc381fa";"0033PB022";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"61df41809";"0031PB016";"A0506";"Profesor titular escuela universitaria";"PDI"
"6022a0ef8";"0018PB019";"7189";"E. CONSERJE";"PAS"
"c9e91899e";"0014PB017";"A0504";"Profesor titular universidad";"PDI"
"031f8f97a";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"290f15180";"0007PB033";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"65071d926";"0033PB031";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"2047865ec";"0015PB060";"A0500";"Catedratico de universidad";"PDI"
"38966ee98";"0011PB027";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"2ac4da771";"0001PB055";"7189";"E. CONSERJE";"PAS"
"0fc9669a2";"0018PB033";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"8c42fd4cb";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"283a61412";"0007PB164";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"0bc130f5a";"0026PB005";"10024";"GESTOR";"PAS"
"e872c4d5e";"0033PB009";"7189";"E. CONSERJE";"PAS"
"f40d9b018";"0022PB002";"7003";"E. AYUDANTES ARC, BIB Y C. DOCUM U. A.";"PAS"
"107c384a7";"0022PB016";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"e9bc2ba23";"0005PB036";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"df3aed442";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"bd744615e";"0024PB001";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"64f83b67c";"0020PB011";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"23c90a450";"0036PB003";"CARGO";"CARGO";"OTROS"
"2bb1c990b";"0014PB057";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"7126de24a";"0203PB018";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"25ee3cb8b";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"73d1f77f8";"0031PB032";"A0504";"Profesor titular universidad";"PDI"
"7a6398a69";"0028PB060";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"94c33eea1";"0015PB039";"A0504";"Profesor titular universidad";"PDI"
"4a067bd21";"0035PB006";"7189";"E. CONSERJE";"PAS"
"09316669b";"0020PB045";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f30a79027";"0007PB065";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9679adb8d";"0000PB997";"CARGO";"CARGO";"OTROS"
"c434f1492";"0005PB038";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"8b894cbb9";"0000PB997";"7189";"E. CONSERJE";"PAS"
"efdc7d512";"0022PB016";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9c5ac9265";"0031PB008";"A0504";"Profesor titular universidad";"PDI"
"0e19b8194";"0002PB061";"A0504";"Profesor titular universidad";"PDI"
"69341172d";"0001PB055";"7189";"E. CONSERJE";"PAS"
"41ffec4a8";"0039PB022";"7189";"E. CONSERJE";"PAS"
"045342c6e";"0035PB006";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"41410c8eb";"0000PB997";"CARGO";"CARGO";"OTROS"
"41410c8eb";"0031PB036";"A0504";"Profesor titular universidad";"PDI"
"e1a479c01";"0028PB001";"7189";"E. CONSERJE";"PAS"
"3cc41ba89";"0000PB997";"10024";"GESTOR";"PAS"
"30d4bb1f8";"0015PB024";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"6c827a4ca";"0036PB033";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"b93878c63";"0008PB021";"00063";"PROFESOR CONTRATADO DOCTOR (LOU)";"PDI"
"89bb25c9d";"0000PB997";"SP011";"BECARIO";"PDI"
"bb082f2b0";"0000PB997";"7189";"E. CONSERJE";"PAS"
"fb15f9aba";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"73b3bb7c0";"0008PB019";"00061";"PROFESOR AYUDANTE DOCTOR (LOU)";"PDI"
"afa2c9b13";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"afa2c9b13";"0009PB021";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"ab2f249cb";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"1a330cb1f";"0202PB005";"10023C";"ESPECIALISTA TECNICO GRUPO C";"PAS"
"1c0264778";"0020PB011";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"13e9fb989";"0000PB997";"10015";"TECNICO SUPERIOR";"PAS"
"c945ae257";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"4d1f084db";"0019PB026";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"840b2e2dd";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"127811338";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"169e1d1c3";"0038PB017";"7189";"E. CONSERJE";"PAS"
"f40c60000";"0031PB038";"A0504";"Profesor titular universidad";"PDI"
"f40c60000";"0000PB997";"CARGO";"CARGO";"OTROS"
"fb9ab7c35";"0010PB022";"00061";"PROFESOR AYUDANTE DOCTOR (LOU)";"PDI"
"398cd25b1";"0031PB039";"A0504";"Profesor titular universidad";"PDI"
"b4268caf7";"0007PB046";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"ceef2507e";"0008PB027";"00060";"AYUDANTE (LOU)";"PDI"
"97d12caa3";"0000PB997";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"29691bad8";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"01c577872";"0009PB012";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"910d3293a";"0033PB112";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"93fcd9f42";"0020PB031";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"0a763c6ba";"0031PB057";"7189";"E. CONSERJE";"PAS"
"591ddcdf6";"0024PB001";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"c794e3be4";"0007PB013";"7189";"E. CONSERJE";"PAS"
"bc7e88825";"0000PB997";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"4005fdcf9";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f6f223322";"0035PB006";"7189";"E. CONSERJE";"PAS"
"a1ce81e7a";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"9c4352c7e";"0028PB040";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"0bc63b002";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"c1f16431e";"0000PB997";"7189";"E. CONSERJE";"PAS"
"5d2f9a67a";"0203PB110";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"b7808b96e";"0007PB068";"A0500";"Catedratico de universidad";"PDI"
"5110fc796";"0026PB014";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"b8f816ac2";"0034PB007";"A0500";"Catedratico de universidad";"PDI"
"7b95e93dd";"0008PB008";"A0500";"Catedratico de universidad";"PDI"
"7de01f098";"0038PB043";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"9ac3dc65c";"0031PB015";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"1757ba26b";"0020PB011";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"b8aff0fba";"0008PB004";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"46edebb48";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"72fdc9059";"0028PB014";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"522894f9c";"0016PB033";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"e81fff963";"0005PB003";"7053";"E. OPERADOR DE LA UNIV. DE ALICANTE";"PAS"
"144ed4764";"0024PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"ffd74f04c";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"c73df13aa";"0000PB997";"CARGO";"CARGO";"OTROS"
"c73df13aa";"0007PB071";"A0504";"Profesor titular universidad";"PDI"
"8f877c20e";"0000PB997";"CARGO";"CARGO";"OTROS"
"b0a91d54a";"0016PB019";"CARGO";"CARGO";"OTROS"
"f83bcb6ac";"0000PB997";"CARGO";"CARGO";"OTROS"
"f83bcb6ac";"0031PB014";"A0500";"Catedratico de universidad";"PDI"
"ae62740e9";"0000PB997";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"89846f327";"0033PB112";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"da6c02abb";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"923dba797";"0018PB017";"A0504";"Profesor titular universidad";"PDI"
"544daccbf";"0025PB013";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"3d288316f";"0020PB068";"A0504";"Profesor titular universidad";"PDI"
"c4919ce99";"0033PB019";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"e0f722fee";"0015PB012";"A0506";"Profesor titular escuela universitaria";"PDI"
"e90c838c5";"0028PB054";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"d620bb89f";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"c213f9e08";"0000PB997";"CARGO";"CARGO";"OTROS"
"200863873";"0002PB051";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"1f5c96555";"0027PB003";"10024";"GESTOR";"PAS"
"412a81c33";"0036PB034";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"46ca93d1c";"0031PB013";"00062";"PROFESOR COLABORADOR (LOU)";"PDI"
"46332c608";"0000PB997";"CARGO";"CARGO";"OTROS"
"46332c608";"0019PB004";"A0504";"Profesor titular universidad";"PDI"
"1dfd6c365";"0000PB997";"00060";"AYUDANTE (LOU)";"PDI"
"167f5f917";"0028PB011";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"dc989ead9";"0024PB011";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2fab8cabb";"0007PB050";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"f75553741";"0011PB001";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"c3d64b86f";"0028PB050";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"b4097b2c2";"0034PB015";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"252b1f287";"0033PB039";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"04b458f74";"0034PB025";"A0504";"Profesor titular universidad";"PDI"
"04b458f74";"0034PB030";"CARGO";"CARGO";"OTROS"
"9e08cbdac";"0031PB005";"A0500";"Catedratico de universidad";"PDI"
"85e347c96";"0020PB020";"CARGO";"CARGO";"OTROS"
"85e347c96";"0020PB020";"A0506";"Profesor titular escuela universitaria";"PDI"
"ba519ae2e";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"4086e66e1";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"303bb14b8";"0007PB020";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"dcbdb0691";"0015PB063";"A0504";"Profesor titular universidad";"PDI"
"ecc340232";"0020PB044";"10016B";"TECNICO GRUPO B";"PAS"
"ec14fbbae";"0016PB015";"7008";"E. BASICA DE CONSERJERIA Y APOYO";"PAS"
"e1717e524";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"fd58633ea";"0020PB004";"CARGO";"CARGO";"OTROS"
"938921594";"0001PB055";"7189";"E. CONSERJE";"PAS"
"87aae14eb";"0026PB016";"SP011";"BECARIO";"PDI"
"e1bd50dee";"0034PB078";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"69fe7f5ba";"0018PB027";"00060";"AYUDANTE (LOU)";"PDI"
"1850d30bd";"0019PB055";"00061";"PROFESOR AYUDANTE DOCTOR (LOU)";"PDI"
"47ac46aa2";"0000PB997";"OFICIALC";"OFICIAL CRUPO C";"PAS"
"46c68463a";"0000PB997";"7138";"E. OFICIAL-ESPECIALISTA DE LA UNIV. DE A";"PAS"
"c397a2ec6";"0002PB020";"SP011";"BECARIO";"PDI"
"53557aaf6";"0034PB032";"00060";"AYUDANTE (LOU)";"PDI"
"3ef8ae050";"0034PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"2037f1716";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
